time,population,populationW,populationM
1910-12-01T00:00:00Z,430,,
1917-12-05T00:00:00Z,355,,
1919-10-08T00:00:00Z,399,199,200
1925-06-01T00:00:00Z,457,234,223
2017-01-01T00:00:00Z,293,,
