time,population,populationW,populationM
1806-01-01T00:00:00Z,300,,
1854-01-01T00:00:00Z,600,,
1900-01-01T00:00:00Z,600,,
1910-12-01T00:00:00Z,587,,
1917-12-05T00:00:00Z,476,,
1919-10-08T00:00:00Z,535,284,251
1925-06-01T00:00:00Z,702,384,318
1926-01-01T00:00:00Z,702,,
2013-12-31T00:00:00Z,750,,
