time,population,populationW,populationM
1910-12-01T00:00:00Z,225,,
1917-12-05T00:00:00Z,184,,
1919-10-08T00:00:00Z,242,127,115
1925-06-01T00:00:00Z,281,142,139
2012-07-01T00:00:00Z,270,,
