time,population,populationW,populationM
1910-12-01T00:00:00Z,2490,,
1917-12-05T00:00:00Z,2009,,
1919-01-01T00:00:00Z,2257,,
1919-10-08T00:00:00Z,2256,1187,1069
1925-06-01T00:00:00Z,2645,1409,1236
2015-06-01T00:00:00Z,1606,,
