time,population,populationW,populationM
1910-12-01T00:00:00Z,655,,
1917-12-05T00:00:00Z,523,,
1919-10-08T00:00:00Z,629,339,290
1925-06-01T00:00:00Z,843,424,419
2017-01-01T00:00:00Z,469,,
