time,population,populationW,populationM
1910-12-01T00:00:00Z,2234,,
1917-12-05T00:00:00Z,1830,,
1919-01-01T00:00:00Z,2130,,
1919-10-08T00:00:00Z,2129,1121,1008
1925-06-01T00:00:00Z,2530,1177,1353
