time,population,populationW,populationM
1728-01-01T00:00:00Z,525,,
1897-01-01T00:00:00Z,1493,,
1910-12-01T00:00:00Z,1472,,
1917-12-05T00:00:00Z,1212,,
1919-10-08T00:00:00Z,1407,717,690
1925-01-01T00:00:00Z,1406,,
1925-06-01T00:00:00Z,1437,721,716
1939-01-01T00:00:00Z,1337,,
1950-01-01T00:00:00Z,2056,,
2011-08-01T00:00:00Z,1028,,
2012-07-01T00:00:00Z,990,,
