time,population,populationW,populationM
1910-12-01T00:00:00Z,246,,
1917-12-05T00:00:00Z,196,,
1919-01-01T00:00:00Z,261,,
1919-10-08T00:00:00Z,263,140,123
1925-06-01T00:00:00Z,333,193,140
2018-01-01T00:00:00Z,291,,
